iter	Passed	Remaining
645	53538	29338
646	53619	29254
647	53699	29169
648	53782	29087
649	53868	29006
650	53953	28924
651	54036	28841
652	54116	28757
653	54195	28672
654	54277	28588
655	54362	28506
656	54446	28424
657	54528	28341
658	54609	28257
659	54688	28172
660	54772	28090
661	54855	28007
662	54934	27923
663	55016	27839
664	55098	27756
665	55183	27674
666	55265	27591
667	55343	27506
668	55424	27422
669	55507	27339
670	55593	27258
671	55674	27174
672	55756	27091
673	55840	27008
674	55922	26925
675	56009	26844
676	56089	26760
677	56168	26675
678	56249	26591
679	56330	26508
680	56414	26426
681	56495	26342
682	56573	26257
683	56654	26173
684	56737	26091
685	56820	26008
686	56905	25926
687	56989	25844
688	57072	25761
689	57155	25678
690	57236	25595
691	57317	25511
692	57395	25426
693	57475	25342
694	57557	25259
695	57642	25177
696	57723	25093
697	57805	25010
698	57886	24926
699	57973	24845
700	58057	24763
701	58138	24679
702	58222	24597
703	58303	24513
704	58383	24430
705	58467	24347
706	58550	24264
707	58633	24182
708	58717	24099
709	58799	24016
710	58883	23934
711	58968	23852
712	59050	23769
713	59131	23685
714	59213	23602
715	59296	23519
716	59378	23436
717	59468	23356
718	59559	23277
719	59648	23196
720	59730	23113
721	59811	23030
722	59891	22945
723	59971	22861
724	60053	22779
725	60139	22697
726	60225	22615
727	60308	22532
728	60390	22449
729	60471	22366
730	60553	22283
731	60635	22200
732	60716	22116
733	60795	22032
734	60875	21948
735	60958	21865
736	61040	21782
737	61120	21698
738	61198	21614
739	61284	21532
740	61368	21450
741	61450	21366
742	61533	21284
743	61614	21200
744	61693	21116
745	61776	21033
746	61856	20950
747	61938	20867
748	62017	20783
749	62101	20700
750	62188	20619
751	62268	20535
752	62349	20451
753	62431	20368
754	62509	20284
755	62595	20202
756	62675	20119
757	62756	20035
758	62837	19952
759	62918	19869
760	63001	19786
761	63083	19703
762	63165	19620
763	63247	19537
764	63332	19454
765	63421	19374
766	63502	19290
767	63584	19207
768	63665	19124
769	63743	19040
770	63825	18957
771	63906	18874
772	63988	18790
773	64069	18707
774	64150	18624
775	64234	18541
776	64314	18458
777	64396	18375
778	64478	18292
779	64558	18208
780	64644	18127
781	64725	18043
782	64809	17961
783	64888	17877
784	64971	17794
785	65056	17712
786	65139	17629
787	65221	17546
788	65305	17464
789	65387	17381
790	65472	17299
791	65555	17216
792	65635	17133
793	65717	17050
794	65799	16967
795	65885	16885
796	65968	16802
797	66051	16719
798	66133	16636
799	66217	16554
800	66301	16471
801	66384	16389
802	66467	16306
803	66548	16223
804	66630	16140
805	66715	16058
806	66795	15974
807	66875	15891
808	66960	15808
809	67042	15725
810	67127	15643
811	67209	15560
812	67292	15478
813	67374	15395
814	67456	15312
815	67539	15229
816	67620	15146
817	67705	15063
818	67786	14980
819	67869	14898
820	67951	14815
821	68037	14733
822	68119	14650
823	68204	14568
824	68295	14486
825	68377	14403
826	68465	14322
827	68545	14238
828	68628	14156
829	68710	14073
830	68795	13990
831	68878	13908
832	68960	13825
833	69042	13742
834	69125	13659
835	69210	13577
836	69292	13494
837	69372	13410
838	69455	13328
839	69546	13246
840	69642	13166
841	69730	13084
842	69815	13002
843	69898	12919
844	69981	12836
845	70063	12753
846	70142	12670
847	70222	12587
848	70302	12503
849	70384	12420
850	70466	12337
851	70550	12255
852	70630	12171
853	70712	12088
854	70793	12005
855	70878	11923
856	70963	11841
857	71044	11757
858	71124	11674
859	71206	11591
860	71295	11510
861	71376	11426
862	71456	11343
863	71541	11261
864	71624	11178
865	71712	11096
866	71794	11013
867	71874	10930
868	71954	10847
869	72037	10764
870	72123	10681
871	72203	10598
872	72282	10515
873	72360	10431
874	72439	10348
875	72524	10265
876	72608	10183
877	72688	10100
878	72770	10017
879	72850	9934
880	72939	9852
881	73020	9769
882	73103	9686
883	73182	9603
884	73266	9520
885	73351	9437
886	73434	9355
887	73516	9272
888	73599	9189
889	73684	9107
890	73766	9024
891	73848	8941
892	73931	8858
893	74014	8775
894	74098	8693
895	74182	8610
896	74262	8527
897	74343	8444
898	74424	8361
899	74503	8278
900	74585	8195
901	74670	8112
902	74752	8029
903	74831	7946
904	74910	7863
905	74991	7780
906	75071	7697
907	75151	7614
908	75231	7531
909	75314	7448
910	75399	7366
911	75481	7283
912	75563	7200
913	75645	7117
914	75727	7034
915	75813	6952
916	75894	6869
917	75974	6786
918	76055	6703
919	76138	6620
920	76223	6538
921	76302	6455
922	76385	6372
923	76470	6289
924	76551	6206
925	76637	6124
926	76720	6041
927	76801	5958
928	76882	5875
929	76963	5792
930	77047	5710
931	77128	5627
932	77208	5544
933	77292	5461
934	77373	5378
935	77461	5296
936	77542	5213
937	77622	5130
938	77701	5047
939	77782	4964
940	77867	4882
941	77951	4799
942	78034	4716
943	78117	4634
944	78198	4551
945	78278	4468
946	78361	4385
947	78441	4302
948	78524	4219
949	78606	4137
950	78686	4054
951	78769	3971
952	78850	3888
953	78935	3806
954	79016	3723
955	79095	3640
956	79180	3557
957	79265	3475
958	79347	3392
959	79428	3309
960	79508	3226
961	79593	3144
962	79683	3061
963	79772	2979
964	79863	2896
965	79945	2813
966	80026	2730
967	80106	2648
968	80186	2565
969	80265	2482
970	80345	2399
971	80428	2316
972	80510	2234
973	80590	2151
974	80673	2068
975	80758	1985
976	80844	1903
977	80927	1820
978	81010	1737
979	81094	1654
980	81177	1572
981	81265	1489
982	81352	1406
983	81436	1324
984	81516	1241
985	81599	1158
986	81682	1075
987	81765	993
988	81849	910
989	81932	827
990	82016	744
991	82100	662
992	82181	579
993	82262	496
994	82341	413
995	82422	331
996	82505	248
997	82588	165
998	82667	82
999	82750	0
